Género;Fecha de nacimiento;Nivel de Educación;Nacionalidad;Pais de residencia;Proceso;FIT;Estado Proceso;Carrera 1;Institucion 1;Nivel de estudio;Estado de carrera;Área de estudio;Carrera 2;Institución 2;Nivel de estudio 2;Estado de carrera 2;Area de estudio 2
F;1988-07-31;Universitaria;venezuela;Chile;Encargado de Grupo - CL;91;Proceso Inactivo;;;Pregrado;Titulado/Titulada;Turismo y Hotelería;;;Pregrado;Titulado/Titulada;Administración
F;1971-09-29;Postgrado;chile;chile;Encargado de Grupo - CL;88;Proceso Inactivo;Diseño;Universidad Finis Terrae;Postgrado;Titulado/Titulada;Diseño;;;;;
F;1996-10-16;Universitaria;chile;chile;Encargado de Grupo - CL;81;Proceso Inactivo;Ingenieria Comercial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;Administración;;;;;
M;1995-12-04;Magister;chile;Chile;Encargado de Grupo - CL;78;Proceso Inactivo;Ingenieria comercial;Universidad de La Frontera;Pregrado;Titulado/Titulada;Administración;Magister en Administración de Empresas;Universidad de La Frontera;Postgrado;Titulado/Titulada;Administración
M;1999-02-27;Universitaria;chile;chile;Encargado de Grupo - CL;92;Proceso Inactivo;Ingenieria Comercial;Universidad Autónoma de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1986-05-17;Universitaria;chile;chile;Encargado de Grupo - CL;87;Proceso Inactivo;Traduccion E Interprete En Ingles;instituto Profesional Valle Central;Pregrado;Titulado/Titulada;Turismo y Hotelería;Bachillerato En Ciencias;Universidad Austral de Chile;Pregrado;Egresado/Egresada;Bachillerato / College
M;1978-06-04;Técnico profesional superior;chile;Chile;Encargado de Grupo - CL;83;Proceso Inactivo;Turismo;Los leones;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
F;1997-07-28;Técnico profesional superior;chile;chile;Encargado de Grupo - CL;84;Proceso Inactivo;Tecnico En Enfermeria Mencion Salud Mental;aiep;Educación Técnico Profesional;Otro;Medicina;;;;;
F;1984-03-06;Universitaria;chile;chile;Encargado de Grupo - CL;84;Proceso Inactivo;Secretariado Gerencial Bilingue;Colegio Polivalente Santa Familia;Educación Técnico Profesional;Titulado/Titulada;Secretariado;Ingenieria En Comercio Internacional;Universidad de Las Américas;Pregrado;Titulado/Titulada;Comercio
M;1983-05-14;Universitaria;colombia;chile;Encargado de Grupo - CL;87;Proceso Inactivo;Ciencia Politica;Universidad del Rosario;Pregrado;Titulado/Titulada;Ciencias Políticas;;;;;
E;;;;;Encargado de Grupo - CL;88;Proceso Inactivo;;;;;;;;;;
M;1995-06-05;Universitaria;chile;chile;Encargado de Grupo - CL;82;Proceso Inactivo;Asistencia en Geología;Liceo Eleuterio Ramírez Molina;Educación Técnico Profesional;Titulado/Titulada;Minas;Derecho;Universidad Andrés Bello;Pregrado;Otro;Derecho
M;1995-08-16;Técnico profesional superior;chile;chile;Encargado de Grupo - CL;85;Proceso Inactivo;Tecnico En Administracion De Empresas Mencion Marketing;AIEP;Educación Técnico Profesional;Titulado/Titulada;Administración;;;;;
F;1990-08-09;Técnico profesional superior;chile;chile;Encargado de Grupo - CL;89;Proceso Inactivo;Administracion De Empresas;IPLACEX;Educación Técnico Profesional;En curso;Administración;;;;;
M;1998-09-17;Técnico profesional superior;chile;chile;Encargado de Grupo - CL;79;Proceso Inactivo;Tecnico Logistica;Duoc UC;Educación Técnico Profesional;En curso;Transporte y Telecomunicación;;;;;
M;1975-04-25;Universitaria;chile;Chile;Encargado de Grupo - CL;81;Proceso Inactivo;Diplomado Marketing;Universidad de Chile;Otra;Titulado/Titulada;Marketing;Pedagogia En Ingles;Universidad Cardenal Silva Henriquez;Pregrado;Otro;Educación Media
M;1996-04-05;Universitaria;chile;chile;Encargado de Grupo - CL;86;Proceso Inactivo;Encargado de operaciones de vuelo (EOV);Precadet;Educación Técnico Profesional;En curso;Transporte y Telecomunicación;Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos;universidad tecnologica inacap;Otra;Titulado/Titulada;Mecánica
M;1988-08-18;Universitaria;chile;chile;Encargado de Grupo - CL;89;Proceso Inactivo;Ingenieria Comercial;Universidad Autónoma de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1980-03-15;Media/Secundaria;chile;chile;Analista Medios de Pago;69;Proceso Inactivo;;;;;;;;;;
F;1999-05-04;Universitaria;chile;chile;Analista Medios de Pago;85;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Católica del Norte;Pregrado;Egresado/Egresada;Ingeniería Civil;;;;;
F;1998-06-10;Universitaria;chile;chile;Analista Medios de Pago;89;Proceso Inactivo;Ingenieria En Informacion Y Control De Gestion;Universidad Diego Portales;Pregrado;Titulado/Titulada;Administración;;;;;
M;1989-11-17;Postgrado;chile;chile;Analista Medios de Pago;97;Proceso Inactivo;Ingenieria Civil Industrial;Universidad de La Frontera;Pregrado;Titulado/Titulada;Ingeniería Civil;Analísis estadístico en R para la Acuicultura;Universidad Catolica de Valparaiso;Postgrado;Titulado/Titulada;Estadística
F;1978-09-08;Universitaria;chile;chile;Analista Medios de Pago;77;Proceso Inactivo;Marketing Digital;Pontificia Universidad Catolica de Chile;Otra;Titulado/Titulada;Marketing;Ingeniera Comercial;Universidad Diego Portales;Pregrado;Titulado/Titulada;Administración
F;1997-09-28;Universitaria;chile;Chile;Analista Medios de Pago;84;Proceso Inactivo;Ingenieria Comercial;Universidad Catolica del Maule;Pregrado;Titulado/Titulada;Administración;;;;;
M;1998-07-10;Universitaria;chile;chile;Analista Medios de Pago;59;Proceso Inactivo;Ingenieria Comercial;Universidad Central;Pregrado;Egresado/Egresada;Finanzas;;;;;
M;1994-10-20;Universitaria;chile;chile;Analista Medios de Pago;85;Proceso Inactivo;Ingenieria Comercial;Universidad del Desarrollo;Pregrado;Titulado/Titulada;Marketing;;;;;
M;1978-06-20;Postgrado;chile;Chile;Analista Medios de Pago;61;Proceso Inactivo;Licenciatura en Administración de Empresas;Universidad Andrés bello;Pregrado;Titulado/Titulada;Finanzas;;;;;
F;1995-04-21;Universitaria;chile;chile;Analista Medios de Pago;86;Proceso Inactivo;Ingenieria Comercial;Universidad Diego Portales;Pregrado;Titulado/Titulada;Administración;;;;;
M;1993-10-18;Postgrado;chile;chile;Analista Medios de Pago;77;Proceso Inactivo;Ingenieria Comercial;Universidad Catolica de La Santísima Concepción;Pregrado;Titulado/Titulada;Administración;Diplomado en Negocios y Administración de Empresas;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Administración
F;1997-08-27;Universitaria;chile;chile;Analista Medios de Pago;93;Proceso Inactivo;Ingenieria Comercial;Universidad Diego Portales;Pregrado;Titulado/Titulada;Administración;;;;;
M;1998-09-07;Universitaria;chile;chile;Analista Medios de Pago;96;Proceso Inactivo;Ingenieria Comercial - Profesional;Universidad de Los Andes;Pregrado;Titulado/Titulada;Finanzas;Ingenieria Comercial - Profesional;Universidad de Navarra;Postgrado;Titulado/Titulada;Finanzas
M;1995-02-16;Universitaria;chile;Chile;Analista Medios de Pago;97;Proceso Inactivo;Ingeniera Comercial;Universidad Central;Pregrado;Egresado/Egresada;Economía;;;;;
F;1994-02-08;Universitaria;chile;chile;Analista Medios de Pago;83;Proceso Inactivo;Ingeniera Comercial;Universidad Catolica del Norte;Pregrado;Titulado/Titulada;Administración;Diseño Industrial;Universidad Catolica de Temuco;Pregrado;Titulado/Titulada;Diseño
F;1998-11-14;Universitaria;chile;chile;Analista Medios de Pago;96;Proceso Inactivo;Ingenieria Comercial - Profesional;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Finanzas;;;;;
F;1989-09-25;Magister;chile;chile;Analista Medios de Pago;84;Proceso Inactivo;Ingenieria Comercial;Universidad de Las Américas;Pregrado;Titulado/Titulada;Ingeniería Civil;Magister en educación Inicial;Universidad Andrés Bello;Postgrado;Titulado/Titulada;Educación Parvularia
M;1992-03-31;Universitaria;chile;Chile;Analista Medios de Pago;92;Proceso Inactivo;data scientist;coderhouse;Otra;En curso;Industrial;Ingenieria Civil Industrial;Universidad de Viña del Mar;Pregrado;Titulado/Titulada;Ingeniería Civil
M;1997-04-15;Universitaria;chile;chile;Analista Medios de Pago;91;Proceso Inactivo;Ingenieria En Expediciones Y Ecoturismo;Universidad San Sebastian;Pregrado;Titulado/Titulada;Turismo y Hotelería;;;;;
F;1999-12-05;Universitaria;chile;chile;Analista Medios de Pago;95;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Andrés Bello;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1999-01-20;Universitaria;chile;chile;Product Manager;87;Proceso Inactivo;Ingenieria Comercial;Universidad Austral de Chile;Postgrado;Titulado/Titulada;Administración;;;;;
M;1998-10-06;Universitaria;chile;chile;Product Manager;84;Proceso Inactivo;Ingenieria Comercial;Universidad del Desarrollo;Pregrado;Titulado/Titulada;Administración;;;;;
M;1996-11-08;Magister;chile;chile;Product Manager;94;Proceso Inactivo;Ingeniera Comercial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;2Comercio;Ingeniera Comercial;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;0Administración
M;1996-11-30;Magister;chile;chile;Product Manager;82;Proceso Inactivo;Magíster Innovación y Diseño;Universidad Adolfo Ibáñez;Postgrado;Otro;Industrial;Ingenieria Comercial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;Administración
F;1997-09-16;Universitaria;chile;chile;Product Manager;96;Proceso Inactivo;Ingenieria Civil Industrial;universidad autonoma de chile;Otra;Titulado/Titulada;Ingeniería Civil;;;;;
F;1984-11-06;Universitaria;chile;Chile;Product Manager;76;Proceso Inactivo;Estudios Ingles Avanzado;ILAC Canada;Otra;Egresado/Egresada;Educación Especial;Diplomado Retail Management;Universidad de Chile;Postgrado;Egresado/Egresada;Comercio
M;1990-07-13;Universitaria;colombia;chile;Product Manager;90;Proceso Inactivo;ingeniería aeronáutica;fundación universitaria los libertadores;Pregrado;Titulado/Titulada;Transporte y Telecomunicación;;;;;
M;1996-06-30;Universitaria;venezuela;Chile;Product Manager;82;Proceso Inactivo;Ingenieria En Comercio Exterior;DuocUC;Pregrado;En curso;Administración;;;;;
F;1988-03-03;Universitaria;chile;chile;Product Manager;36;Proceso Inactivo;Comunicacion Y Relaciones Publicas;Aiep;Educación Técnico Profesional;Egresado/Egresada;Comunicaciones;Publicidad;DuocUc;Pregrado;Titulado/Titulada;Comunicaciones
M;2000-01-04;Universitaria;chile;chile;Product Manager;97;Proceso Inactivo;Ingenieria En Aviacion Comercial;"Universidad Técnica ""Federico Santa María""";Pregrado;Egresado/Egresada;Transporte y Telecomunicación;;;;;
M;1989-06-26;Universitaria;colombia;chile;Product Manager;68;Proceso Inactivo;data science;academia Desafio Latam;Otra;En curso;Computación e Informática;Administracion;Universidad Mayor;Pregrado;Egresado/Egresada;Administración
M;1990-05-25;Magister;chile;chile;Product Manager;90;Proceso Inactivo;Ingenieria Comercial;Universidad Central;Postgrado;Titulado/Titulada;Administración;Magister Direccion Comercial y Marketing;Universidad Gabriela Mistral;Postgrado;Titulado/Titulada;Marketing
F;1982-12-13;Universitaria;chile;chile;Product Manager;86;Proceso Inactivo;Ingenieria Comercial;Universidad de Chile;Pregrado;Egresado/Egresada;Administración;;;;;
F;1987-12-01;Universitaria;chile;chile;Product Manager;91;Proceso Inactivo;Ingenieria Industrial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Ingeniería Civil;Administración y soporte de redes;CFT La Araucana;Educación Técnico Profesional;Titulado/Titulada;Computación e Informática
M;1987-01-13;Magister;chile;chile;Product Manager;98;Proceso Inactivo;Magíster en Dirección de Empresas;Universidad San Sebastian;Otra;En curso;Administración;Ingenieria En Diseño De Productos;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Industrial
M;1988-02-18;Magister;chile;Chile;Product Manager;82;Proceso Inactivo;Ingeniera Comercial;Universidad del Pacifico;Postgrado;Titulado/Titulada;Marketing;Magister en Marketing;Universidad de Chile;Postgrado;Titulado/Titulada;Marketing
M;1990-05-23;Universitaria;chile;Chile;Product Manager;94;Proceso Inactivo;Ingenieria Comercial;Universidad Nacional Andrés Bello;Postgrado;Titulado/Titulada;Administración;;;;;
M;1992-08-06;Universitaria;chile;chile;Product Manager;98;Proceso Inactivo;Ingenieria Comercial - Profesional;Universidad Catolica de Valparaiso;Pregrado;Titulado/Titulada;Administración;;;;;
M;1997-04-02;Universitaria;chile;Chile;Product Manager;74;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Diego Portales;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1999-06-10;Universitaria;chile;chile;Product Manager;86;Proceso Inactivo;Ingenieria Comercial;Universidad de Talca;Pregrado;Egresado/Egresada;Administración;;;;;
M;2021-01-30;Universitaria;chile;Chile;Product Manager;91;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Catolica de Valparaiso;Pregrado;Titulado/Titulada;Industrial;;;;;
F;1994-12-15;Magister;chile;chile;Product Manager;91;Proceso Inactivo;Ingenieria Comercial;"Universidad ""Adolfo Ibañez""";Postgrado;Titulado/Titulada;Administración;;;;;
F;1994-09-23;Universitaria;chile;Chile;Product Manager;89;Proceso Inactivo;Ingenieria Comercial;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1981-12-26;Universitaria;chile;chile;Product Manager;91;Proceso Inactivo;Ingenieria Comercial;universidad tecnologica inacap;Pregrado;Titulado/Titulada;Comercio;;;;;
M;1995-06-06;Universitaria;chile;Chile;Product Manager;98;Proceso Inactivo;Estudiante;Colegio Salesiano Concepción;Educación Media/Secundaria;Egresado/Egresada;Educación Media;Ingeniería Comercial;Universidad del Desarrollo;Pregrado;Egresado/Egresada;Comercio
M;1985-09-30;Universitaria;chile;chile;Product Manager;80;Proceso Inactivo;Ingenieria Comercial;"Universidad ""Adolfo Ibañez""";Pregrado;Egresado/Egresada;Marketing;;;;;
F;1995-11-11;Técnico profesional superior;chile;chile;Product Manager;81;Proceso Inactivo;Contador Auditor-Contador Publico;Universidad de Los Lagos;Educación Técnico Profesional;Titulado/Titulada;Contabilidad;;;;;
F;1996-08-30;Universitaria;chile;chile;Product Manager;82;Proceso Inactivo;Ingenieria En Marketing;Duoc uc;Otra;Titulado/Titulada;Marketing;;;;;
F;1998-05-12;Universitaria;chile;chile;Product Manager;97;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Católica del Norte;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1997-01-16;Universitaria;chile;chile;Product Manager;98;Proceso Inactivo;Ingenieria Comercial;Universidad Los Andes;Otra;Egresado/Egresada;Administración;;;;;
F;1996-03-12;Universitaria;chile;Chile;Product Manager;78;Proceso Inactivo;diplomado marketing digital;Pontificia Universidad Catolica de Chile;Postgrado;En curso;Marketing;Relaciones Publicas;Universidad Santo Tomás;Pregrado;Titulado/Titulada;Comunicación
M;1993-10-29;Universitaria;chile;chile;Product Manager;97;Proceso Inactivo;Ingenieria En Turismo Y Hoteleria;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Turismo y Hotelería;Ingenieria Comercial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Administración
F;2020-01-01;Universitaria;chile;chile;Product Manager;94;Proceso Inactivo;Enfermeria;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Enfermería;Psicologia;Universidad San Sebastian;Otra;En curso;Psicología
F;1993-08-24;Universitaria;chile;chile;Product Manager;90;Proceso Inactivo;Ingeniera Comercial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Economía;;;;;
M;1995-06-27;Universitaria;chile;Chile;Product Manager;89;Proceso Inactivo;Ingenieria Comercial;Universidad de Los Andes;Pregrado;Titulado/Titulada;Economía;;;;;
M;1997-10-23;Universitaria;chile;Chile;Product Manager;98;Proceso Inactivo;Ingenieria Civil En Obras Civiles;Universidad Diego Portales;Pregrado;Titulado/Titulada;Obras Civiles;;;;;
F;1999-03-17;Universitaria;chile;Chile;Product Manager;87;Proceso Inactivo;Ingenieria Comercial;Pontificia Universidad Catolica de Chile;Pregrado;En curso;Administración;;;;;
M;1997-01-18;Universitaria;chile;chile;Product Manager;89;Proceso Inactivo;Ingenieria Civil Industrial;Universidad de Valparaiso;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1994-06-26;Universitaria;chile;Chile;Product Manager;99;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Adolfo Ibáñez;Pregrado;Egresado/Egresada;Ingeniería Civil;;;;;
F;1991-12-27;Universitaria;venezuela;Chile;Product Manager;80;Proceso Inactivo;Ingenieria Industrial;UNEXPO;Pregrado;Egresado/Egresada;Ingeniería Civil;;;;;
F;1998-02-26;Universitaria;chile;chile;Product Manager;91;Proceso Inactivo;Ingenieria Civil Industrial;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1991-05-25;Universitaria;chile;chile;Product Manager;75;Proceso Inactivo;Diplomado en Estadística;Pontificia Universidad Catolica de Chile;Postgrado;En curso;Estadística;Ingenieria Industrial;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Industrial
M;1988-01-20;Universitaria;venezuela;chile;Product Manager;68;Proceso Inactivo;Ingenieria Comercial;UNIVERSIDAD CATOLICA DE VENEZUELA;Pregrado;Titulado/Titulada;Finanzas;;;;;
M;1985-04-04;Postgrado;chile;chile;Product Manager;80;Proceso Inactivo;Estrategias Comerciales de Alto Impacto;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Administración;International Business;Leon Kozminski Academy of Entrepreneurship and Mangement in Warsaw;Postgrado;Egresado/Egresada;Administración
M;1991-01-23;Universitaria;chile;chile;Product Manager;85;Proceso Inactivo;Ingeniera Comercial;Universidad de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
F;1999-02-08;Universitaria;chile;Chile;Product Manager;72;Proceso Inactivo;Ingenieria Comercial;Universidad Finis Terrae;Pregrado;Titulado/Titulada;Comercio;;;;;
F;1990-12-21;Universitaria;chile;chile;Product Manager;89;Proceso Inactivo;Ingeniera Comercial;Universidad Austral de Chile;Pregrado;Titulado/Titulada;Administración;Ingeniera Comercial;Fachhochschule Münster;Pregrado;Titulado/Titulada;Marketing
M;1993-10-02;Universitaria;chile;Chile;Product Manager;77;Proceso Inactivo;Ingenieria En Administracion De Empresas Mencion Finanzas;Universidad Tecnológica de Chile INACAP;Pregrado;Egresado/Egresada;Administración;Ingenieria Comercial, Continuidad De Estudios;Universidad Tecnológica de Chile INACAP;Pregrado;En curso;Administración
M;1991-06-13;Universitaria;chile;chile;Product Manager;82;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Austral de Chile;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1992-02-27;Universitaria;chile;Chile;Product Manager;81;Proceso Inactivo;Ingenieria Comercial;universidad tecnologica de chile, Inacap;Otra;Titulado/Titulada;Administración;;;;;
M;1984-03-21;Técnico profesional superior;chile;chile;Product Manager;87;Proceso Inactivo;Tecnico en Logistica y Operaciones Industriales;Inacap;Educación Técnico Profesional;Titulado/Titulada;Industrial;Ingenieria Industrial;Universidad tecnologica de chile;Pregrado;En curso;Industrial
F;1993-02-18;Universitaria;chile;chile;Product Manager;67;Proceso Inactivo;Ingenieria Comercial;Universidad Catolica del Norte;Pregrado;Titulado/Titulada;Comercio;;;;;
M;1991-12-30;Magister;chile;Chile;Product Manager;79;Proceso Inactivo;Administración de Empresas;DUOC UC;Educación Técnico Profesional;Titulado/Titulada;Marketing;Publicidad;Unv, Mayor;Pregrado;Titulado/Titulada;Marketing
M;1996-08-21;Universitaria;chile;chile;Product Manager;89;Proceso Inactivo;Ingenieria Comercial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Administración;;;;;
M;1994-03-11;Universitaria;chile;chile;Product Manager;88;Proceso Inactivo;Ingenieria Comercial;Universidad Católica del Norte;Pregrado;Titulado/Titulada;Administración;;;;;
F;1990-07-23;Universitaria;chile;Chile;Product Manager;81;Proceso Inactivo;Marketing Y Gestion Comercial;Universidad de Santiago de Chile;Postgrado;En curso;Marketing;Ingenieria De Ejecucion En Administracion De Empresas;"Universidad ""Arturo Prat""";Pregrado;Titulado/Titulada;Administración
M;1977-10-11;Universitaria;perú;perú;Product Manager;79;Proceso Inactivo;Administracion de Negocios;Universidad Privada San Juan Bautista;Pregrado;Egresado/Egresada;Administración;MBA;Escuela Nacional de Barcelona;Postgrado;En curso;Administración
F;1998-01-19;Universitaria;chile;chile;Product Manager;77;Proceso Inactivo;Ingeniera Comercial;Universidad del Desarrollo;Pregrado;Egresado/Egresada;Comercio;;;;;
M;1997-03-30;Universitaria;chile;chile;Product Manager;81;Proceso Inactivo;Ingenieria Comercial;Universidad del Desarrollo;Pregrado;En curso;Economía;;;;;
M;1993-02-18;Universitaria;chile;chile;Product Manager;87;Proceso Inactivo;ingeniero comercial;Universidad Autonoma De Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1997-11-07;Magister;chile;chile;Product Manager;70;Proceso Inactivo;Ingenieria Comercial;Universidad Finis Terrae;Postgrado;Titulado/Titulada;Marketing;;;;;
F;1992-11-24;Magister;chile;chile;Product Manager;76;Proceso Inactivo;Pedagogia En Quimica Y Ciencias Naturales;Universidad Catolica de Valparaiso;Pregrado;Titulado/Titulada;Química;;;;;
M;1996-04-14;Universitaria;chile;chile;Product Manager;81;Proceso Inactivo;Ingenieria Comercial;Universidad Finis Terrae;Postgrado;Titulado/Titulada;Finanzas;;;;;
M;1992-06-16;Universitaria;chile;chile;Product Manager;75;Proceso Inactivo;Ingenieria Civil Industrial;Universidad del Bío-Bío;Pregrado;Egresado/Egresada;Industrial;;;;;
M;1984-03-26;Universitaria;chile;chile;Product Manager;81;Proceso Inactivo;Ingeniera Comercial;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1996-07-26;Universitaria;chile;Chile;Product Manager;80;Proceso Inactivo;Ingeniería en aviación comercial;Univrsidad Técnica Federico Santa María;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1999-01-19;Universitaria;chile;chile;Product Manager;67;Proceso Inactivo;Ingeniera Comercial;universidad andres bello;Pregrado;Titulado/Titulada;Administración;;;;;
M;1999-03-11;Universitaria;chile;chile;Product Manager;75;Proceso Inactivo;Administracion De Empresas;Instituto de administración y comercio Estado de Israel;Educación Técnico Profesional;Titulado/Titulada;Administración;Ingenieria Civil Industrial;Universidad Catolica del Norte;Pregrado;Titulado/Titulada;Ingeniería Civil
M;1973-04-19;Magister;chile;chile;Product Manager;65;Proceso Inactivo;Mg. BIM Management;UNIACC;Postgrado;Egresado/Egresada;Obras Civiles;;;;;
F;1999-03-25;Universitaria;chile;chile;Product Manager;86;Proceso Inactivo;Ingenieria Comercial;Universidad de Los Andes;Pregrado;Titulado/Titulada;Administración;;;;;
F;1983-12-28;Universitaria;chile;Chile;Product Manager;69;Proceso Inactivo;Ingeniero en Comercio Internacional;Universidad Tecnológica Metropolitana;Otra;Titulado/Titulada;Economía;;;;;
M;1982-12-27;Universitaria;chile;chile;Product Manager;69;Proceso Inactivo;Diplomado Coaching y Liderazgo Organizacional;Universidad Mayor;Otra;Titulado/Titulada;Sociología;Ingenieria En Recursos Humanos;Instituto Superior de Artes y Ciencias de la Comunicación;Postgrado;Titulado/Titulada;Finanzas
F;1997-01-07;Universitaria;chile;chile;Product Manager;77;Proceso Inactivo;Ingenieria Comercial;Universidad Santo Tomás;Pregrado;Titulado/Titulada;Administración;;;;;
M;1988-03-03;Magister;chile;Chile;Product Manager;89;Proceso Inactivo;Administración de Empresas Turísticas;Universidad Tecnológica de Chile INACAP;Pregrado;Titulado/Titulada;Turismo y Hotelería;Ingenieria En Administracion De Empresas Mencion Marketing;Universidad Tecnológica de Chile, INACAP;Pregrado;Titulado/Titulada;Administración
M;1984-09-30;Postgrado;brasil;chile;Product Manager;67;Proceso Inactivo;Logistica;Unip;Postgrado;En curso;Administración;Tecnico En Gestion Comercial;Unisant´anna;Educación Técnico Profesional;Titulado/Titulada;Comercio
M;1990-11-08;Postgrado;chile;Chile;Product Manager;82;Proceso Inactivo;Ingeniera Comercial;Universidad Mayor;Pregrado;Titulado/Titulada;Marketing;Finanzas;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Finanzas
F;1994-12-10;Postgrado;perú;perú;Product Manager;73;Proceso Inactivo;Business Executive Program;Pacífico Busines School;Postgrado;Egresado/Egresada;Administración;Administración y Marketing;Universidad Peruana de Ciencias Aplicadas;Pregrado;Egresado/Egresada;Marketing
M;1996-08-21;Universitaria;chile;chile;Product Manager;94;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Austral de Chile;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1991-11-16;Técnico profesional superior;chile;Chile;Product Manager;89;Proceso Inactivo;Ingenieria Civil En Informatica Y Telecomunicaciones;Universidad Diego Portales;Otra;Otro;Ingeniería Civil;Piloto Comercial;golden eagle;Educación Técnico Profesional;Egresado/Egresada;Transporte y Telecomunicación
M;1992-05-30;Universitaria;chile;Chile;Product Manager;77;Proceso Inactivo;Ingenieria Comercial Mencion Administracion De Empresas;Universidad Bernardo O'Higgins;Pregrado;Titulado/Titulada;Administración;;;;;
M;1991-04-27;Universitaria;chile;chile;Product Manager;61;Proceso Inactivo;Ingeniero de Ejecución en Administración;Universidad Santo Tomás;Educación Técnico Profesional;Titulado/Titulada;Administración;;;;;
F;1994-05-04;Universitaria;chile;chile;Product Manager;76;Proceso Inactivo;Ingenieria Civil Industrial;Universidad del Desarrollo;Otra;Titulado/Titulada;Matemática;;;;;
F;1985-11-02;Universitaria;chile;Chile;Product Manager;79;Proceso Inactivo;Ingeniera Comercial;Universidad Alberto Hurtado;Pregrado;Titulado/Titulada;Administración;;;;;
F;1993-03-10;Universitaria;chile;chile;Product Manager;80;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Catolica de Temuco;Educación Técnico Profesional;Titulado/Titulada;Ingeniería Civil;;;;;
F;1993-11-24;Universitaria;chile;chile;Product Manager;61;Proceso Inactivo;Ingenieria Comercial;Universidad de Valparaiso;Otra;Titulado/Titulada;Administración;;;;;
F;1996-07-30;Universitaria;chile;chile;Product Manager;78;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Tecnológica Metropolitana;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1986-05-09;Magister;chile;chile;Product Manager;77;Proceso Inactivo;Diplomado en Marketing Digital & e-business;Universidad de Los Andes;Otra;Titulado/Titulada;Marketing;Diplomado Gestión de Retail;Universidad de Chile;Otra;Titulado/Titulada;Marketing
M;1983-10-17;Magister;chile;chile;Product Manager;58;Proceso Inactivo;Tecnico En Electricidad Y Automatizacion Industrial;Duoc UC;Educación Técnico Profesional;Titulado/Titulada;Eléctrica / Electrónica;Ingenieria Industrial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Industrial
M;1986-09-12;Universitaria;chile;chile;Product Manager;46;Proceso Inactivo;desarrollo web;coder house;Otra;Egresado/Egresada;Computación e Informática;Diseño Grafico;Universidad del Mar;Pregrado;Titulado/Titulada;Diseño
F;1994-12-03;Magister;chile;chile;Product Manager;68;Proceso Inactivo;Master en Marketing;Politecnico di Milano;Postgrado;Titulado/Titulada;Marketing;Ingenieria Comercial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;Administración
F;1998-04-27;Postgrado;chile;chile;Product Manager;78;Proceso Inactivo;Ingeniera Comercial;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Marketing;;;;;
